User,Username,UTC Date,Tweet,Binders,Permalink,Retweet count,Likes count,Tweet value
Sports 🇲🇾 💖 VS K-pop 🇰🇷 💖,@atik_amal,2023-01-19 07:30:47,"RT @theaseanball: 🇲🇾 Malaysia is planning to revive the Merdeka Cup after 10 years (the last tournament was held in 2013).

The tournament is scheduled to be held in September this year

The countries targeted by FAM to send invitations : Vietnam 🇻🇳, Thailand 🇹🇭, Syria 🇸🇾 or Palestine 🇵🇸.

#FAM https://t.co/m9Kpw7iY4D",,https://www.twitter.com/user/status/1615975037861003266,0,0,0.57
Enya,@EnyaInTheWorld,2023-01-19 07:30:45,"@Derpatar @JeremyVineOn5 Virginia Giufre was of legal age when she met Andrew at a party and he was targeted by her, Maxwell &amp; Epstein. 

Legal Age=Adult",,https://www.twitter.com/user/status/1615975030890041344,0,0,0.09
lola,@lola19803789,2023-01-19 07:30:44,"RT @v2kdevice: NOW IMAGINE AN ​​ORDINARY HUMAN BEING PUT DOWN WITH ALL THIS SHIT AND HAVING TO SURVIVE, THESE ARE THE TARGETED INDIVIDUALS https://t.co/kTTLj7AhKE",,https://www.twitter.com/user/status/1615975028453167106,0,0,1.04
Anju,@Anju435326931,2023-01-19 07:30:32,"RT @PurpleKookie20: @ColorsTV @BeingSalmanKhan @Chingssecret @soundarya_20 @BhanotShalin You can show her being targeted narrative all you want but the truth is the strongest and most secure contestant in the house not interested to target her…so this narrative everyone targets her fails already 

#ShivThakare 
#BiggBoss16",,https://www.twitter.com/user/status/1615974977551073281,0,0,0.04
Joe,@joedawgs206,2023-01-19 07:30:15,To be honest I don’t know why anyone would ever pay for a stylist when we all have access to IG targeted ads,,https://www.twitter.com/user/status/1615974905929150465,0,1,0.64
Pakistan Single Window,@PakSingleWindow,2023-01-19 07:30:13,"PSW hosted a meeting with @PakistanADB, which covered ADB’s loan review mission and the sourcing of ICT products and services.
@CEOPSW discussed the important reform areas targeted under PSW.

#AsianDevelopmentBank #PSW #ADB https://t.co/tetOogYGWM",,https://www.twitter.com/user/status/1615974896101728259,0,3,10.14
VoteForDemocracyF**KMAGA🌊🌊🌊🇺🇸🇺🇦🇵🇭🇹🇼,@bayarea925foto,2023-01-19 07:29:57,"@mattgaetz Timothy McVeigh targeted an  ATF office in Oklahoma on that fateful day April 19, 1994. 

@MattGaetz is every bit a fucking traitor just like McVeigh.",,https://www.twitter.com/user/status/1615974828510703616,0,0,0.08
Buchanan27,@Buchanan272,2023-01-19 07:29:49,"RT @ianbfarquhar: Does anyone remember the “little pinkie” advertisement, targeting hoon behaviour? Clever, cutting, targeted. The NSW Libs cancelled it, replacing it with the thuggish “Stop It or Cop It”. Time to show Obergruppenführer Dom the finger in NSW. https://t.co/99aWMgWtn5",,https://www.twitter.com/user/status/1615974796583636993,0,0,0.27
Mior Imran 🇲🇾,@AminMior,2023-01-19 07:29:44,"RT @theaseanball: 🇲🇾 Malaysia is planning to revive the Merdeka Cup after 10 years (the last tournament was held in 2013).

The tournament is scheduled to be held in September this year

The countries targeted by FAM to send invitations : Vietnam 🇻🇳, Thailand 🇹🇭, Syria 🇸🇾 or Palestine 🇵🇸.

#FAM https://t.co/m9Kpw7iY4D",,https://www.twitter.com/user/status/1615974775477907457,0,0,0.15
RLTG801,@rltg801,2023-01-19 07:28:37,@YouTube Ok but I actually did this last night I watched Youtube I went down stairs to get a drink then I fell asleep so this feels targeted,,https://www.twitter.com/user/status/1615974492513406976,0,0,0.0
Veysel OK,@VeyselOkk,2023-01-19 07:28:32,"RT @mlsaturkey: On 19 January 2007, Agos Daily's editor-in-chief #HrantDink was assassinated after he was systematically targeted.

Those responsible are still awarded with impunity.

We remember Hrant with respect, gratitude and love and reiterate our demand: #JusticeForHrant. https://t.co/7MwGCzl47z",,https://www.twitter.com/user/status/1615974473143918593,0,0,9.98
Arun Kumar,@ArunKum62867448,2023-01-19 07:28:29,RT @RaoOmbeer: Youth get's easily targeted by the negative thoughts of suicide as they think this is the easiest way to get rid of their problems. But that's not right. Thousands of youngsters today #FightDepression by practicing meditation daily with teachings of Saint Gurmeet Ram Rahim Ji https://t.co/7IMPKFtMkV,,https://www.twitter.com/user/status/1615974458984136706,0,0,0.01
